,address,asked_price,coordinate,final_price,pourcentage_difference,land_area,area,commune,price_per_area,rooms,sale_date,supplemental_area
23,Drottningholmsvägen 556,8750000.0,"[59.33139, 17.92017]",9200000,5.0,475.0,95.0,"Bromma Nockebyhov, Stockholms kommun",96842.0,5.0,Såld 2022-06-15,49.0
24,Tegnebyvägen 50,6900000.0,"[59.3445053, 17.905344]",8015000,16.0,470.0,85.0,"Bromma - Norra Ängby, Stockholms kommun",94294.0,6.0,Såld 2022-06-15,80.0
25,Strömkarlsvägen 34,14900000.0,"[59.3198, 17.9722767]",14825000,1.0,265.0,157.0,"Bromma Smedslätten, Stockholms kommun",94427.0,7.0,Såld 2022-06-14,71.0
26,Vivelvägen 13B,8650000.0,"[59.2749329, 17.9938145]",8650000,0.0,642.0,104.0,"Älvsjö, Stockholms kommun",83173.0,5.0,Såld 2022-06-14,90.0
27,Tellusvägen 7,8495000.0,"[59.25363, 18.1814461]",8500000,0.0,1075.0,163.0,"Älta - Hedvigslund, Nacka kommun",52147.0,6.0,Såld 2022-06-14,0.0
28,Norlindsvägen 33,9950000.0,"[59.35501, 17.9141312]",10000000,1.0,662.0,124.0,"Bromma - Bromma Kyrka, Stockholms kommun",80645.0,7.0,Såld 2022-06-14,121.0
29,Rågångsvägen 17B,11995000.0,"[59.3827830836, 17.9214802968]",11995000,0.0,878.0,219.0,"Spånga - Bromsten, Stockholms kommun",54772.0,8.0,Såld 2022-06-13,82.0
30,Järpvägen 3,6500000.0,"[59.400177, 17.8616943]",6500000,0.0,837.0,103.0,"Barkarby, Järfälla kommun",63107.0,,Såld 2022-06-13,30.0
31,Långskeppsgatan 31,8150000.0,"[59.3526393891, 17.8972564076]",8150000,0.0,423.0,122.0,"Norra Ängby, Stockholms kommun",66803.0,7.0,Såld 2022-06-11,6.0
32,Tallvägen 1A,11950000.0,"[59.4156876, 17.9522781]",11300000,5.0,1134.0,210.0,"Helenelund, Sollentuna kommun",53810.0,9.0,Såld 2022-06-10,60.0
33,Saturnushöjden 3,7495000.0,"[59.38543, 17.8390923]",7495000,0.0,1402.0,140.0,"Skälby, Järfälla kommun",53536.0,6.0,Såld 2022-06-10,0.0
34,Hästhagsvägen 25B,6495000.0,"[59.435016320088025, 17.933848696294927]",6800000,5.0,8122.0,134.0,"Häggvik, Sollentuna kommun",50746.0,4.0,Såld 2022-06-10,38.0
35,Valfrid Brodds väg 42,6975000.0,"[59.3720551, 17.8118572]",7310000,5.0,665.0,124.0,"Hässelby - Södra Villastad, Stockholms kommun",58952.0,6.0,Såld 2022-06-10,42.0
36,Hagforsgatan 13,5000000.0,"[59.23694351738007, 18.089633398832955]",5000000,0.0,814.0,117.0,"Farsta, Stockholms kommun",42735.0,5.0,Såld 2022-06-10,26.0
37,Storskogsvägen 22,15500000.0,"[59.32022, 17.9559422]",15700000,1.0,422.0,116.0,"Bromma - Ålsten, Stockholms kommun",135345.0,6.0,Såld 2022-06-10,57.0
38,Hjortstigen 16,18500000.0,"[59.38101243029418, 18.064946128681285]",19500000,5.0,1133.0,246.0,"Stocksund, Danderyds kommun",79268.0,10.0,Såld 2022-06-10,150.0
39,Herserudsvägen 36,22900000.0,"[59.3585525774375, 18.12373172322619]",21200000,7.0,1193.0,189.0,"Herserud, Lidingö kommun",112169.0,7.0,Såld 2022-06-10,35.0
40,Söråkersvägen 2,9850000.0,"[59.27214314475196, 18.056906533461266]",9850000,0.0,833.0,164.0,"Enskede - Stureby, Stockholms kommun",60061.0,6.0,Såld 2022-06-10,6.0
41,Forskningsringen 25,7995000.0,"[59.38368, 17.9523621]",8800000,10.0,338.0,139.0,"Ursvik, Sundbybergs kommun",63309.0,5.0,Såld 2022-06-09,10.0
42,Åbroddsvägen 23,6995000.0,"[59.37704, 17.8242683]",6825000,2.0,987.0,143.0,"Hässelby Södra Villastad, Stockholms kommun",47727.0,6.0,Såld 2022-06-09,8.0
43,Ösmogatan 6,8390000.0,"[59.27692, 18.0717812]",9840000,17.0,604.0,87.0,"Svedmyra, Stockholms kommun",113103.0,4.0,Såld 2022-06-09,49.0
44,Flensvägen 40,7700000.0,"[59.2682730309, 18.0314328027]",8600000,12.0,765.0,65.0,"Älvsjö - Örby, Stockholms kommun",132308.0,4.0,Såld 2022-06-09,65.0
45,Gränsvägen 25B,8495000.0,"[59.2494354, 18.21026]",8500000,0.0,1423.0,170.0,"Lindalen, Tyresö kommun",50000.0,5.0,Såld 2022-06-08,0.0
46,Fallskärmsvägen 1,8495000.0,"[59.3991946731, 17.8623303061]",9250000,9.0,1055.0,140.0,"Barkarby, Järfälla kommun",66071.0,7.0,Såld 2022-06-07,151.0
47,Långbrodalsvägen 35,9750000.0,"[59.2769775, 17.996048]",10300000,6.0,768.0,153.0,"Långbro, Stockholms kommun",67320.0,6.0,Såld 2022-06-07,28.0
48,Törnes väg 18,8050000.0,"[59.23259028860639, 18.19799297990945]",8050000,0.0,1087.0,174.0,"Hanviken, Tyresö kommun",46264.0,6.0,Såld 2022-06-06,0.0
49,Sandstigen 2B,7025000.0,"[59.23776703197272, 18.20608330369951]",6950000,1.0,786.0,118.0,"Hanviken, Tyresö kommun",58898.0,7.0,Såld 2022-06-06,118.0
0.1,Markviksvägen 15,6475000.0,"[59.371685, 17.8250389]",6950000,7.0,635.0,117.0,"Hässelby Södra Villastad, Stockholms kommun",59402.0,5.0,Såld 2022-06-17,44.0
1.1,Mälarhöjdsvägen 38,9950000.0,"[59.3008766, 17.9478054]",11300000,14.0,882.0,195.0,"Mälarhöjden - Hägersten, Stockholms kommun",57949.0,5.0,Såld 2022-06-17,22.0
2.1,Häradsvägen 202,5795000.0,"[59.27202322587505, 17.954076342308372]",6200000,7.0,1224.0,90.0,"Segeltorp, Huddinge kommun",68889.0,6.0,Såld 2022-06-17,90.0
3.1,Hemmansvägen 18,11950000.0,"[59.28390406370304, 18.07625832074728]",12700000,6.0,542.0,110.0,"Gamla Enskede, Stockholms kommun",115455.0,5.0,Såld 2022-06-17,48.0
4.1,Alholmsbacken 8,7950000.0,"[59.28134, 17.9009438]",8100000,2.0,690.0,157.0,"Skärholmshöjden., Stockholms kommun",51592.0,6.0,Såld 2022-06-17,0.0
5.1,Herrgårdsvägen 13,14500000.0,"[59.2924271, 18.06412]",16400000,13.0,529.0,136.0,"Enskede Gård, Stockholms kommun",120588.0,9.0,Såld 2022-06-17,64.0
6.1,Skogsslingan 14,5300000.0,"[59.28062, 17.8804951]",4910000,7.0,688.0,140.0,"Johannesdal - Vårberg, Stockholms kommun",35071.0,6.0,Såld 2022-06-17,24.0
7.1,Brunflogatan 50,7195000.0,"[59.36239706, 17.8897221448]",7195000,0.0,588.0,114.0,"Vällingby - Råcksta Trädgårdsstad, Stockholms kommun",63114.0,7.0,Såld 2022-06-16,65.0
8.1,Knektvägen 8,6395000.0,"[59.2293115452725, 18.203405903355126]",6070000,5.0,1530.0,98.0,"Trollbäcken/Hanviken, Tyresö kommun",61939.0,5.0,Såld 2022-06-16,97.0
9.1,Vinstavägen 14,7875000.0,"[59.38001357456928, 17.8800077008718]",8500000,8.0,926.0,111.0,"Spånga Solhem, Stockholms kommun",76577.0,6.0,Såld 2022-06-16,59.0
10.1,Pliggvägen 2,7500000.0,"[59.2882097685, 18.011664187]",6500000,13.0,599.0,124.0,"Solberga, Stockholms kommun",52419.0,8.0,Såld 2022-06-16,124.0
11.1,Ivar Hallströms väg 11,12895000.0,"[59.2978445203, 17.9736842223]",16550000,28.0,610.0,164.0,"Mälarhöjden, Stockholms kommun",100915.0,7.0,Såld 2022-06-16,17.0
12.1,Bokvägen 1,7950000.0,"[59.4154167, 17.9572659]",7700000,3.0,689.0,154.0,"Helenelund, Sollentuna kommun",50000.0,5.0,Såld 2022-06-16,6.0
13.1,Enebacken 3,13950000.0,"[59.3817610642204, 18.057135417561657]",13750000,1.0,710.0,148.0,"Stocksund, Danderyds kommun",92905.0,6.0,Såld 2022-06-16,25.0
14.1,Nyodlingsvägen 11,9900000.0,"[59.41727883290759, 17.96305737891288]",8600000,13.0,1243.0,80.0,"Edsviken, Sollentuna kommun",107500.0,4.0,Såld 2022-06-16,102.0
15.1,Vivelvägen 124,6995000.0,"[59.28562, 17.978801699999998]",6995000,0.0,579.0,68.0,"Älvsjö, Stockholms kommun",102868.0,5.0,Såld 2022-06-16,68.0
16.1,Enebyvägen 5,8300000.0,"[59.358588768, 17.9092375606]",8250000,1.0,395.0,63.0,"Eneby, Stockholms kommun",130952.0,5.0,Såld 2022-06-15,63.0
17.1,Flottiljvägen 5,7900000.0,"[59.400079982, 17.8674542552]",7900000,0.0,802.0,111.0,"Barkarby, Järfälla kommun",71171.0,7.0,Såld 2022-06-15,111.0
18.1,Blåklocksvägen 11,8950000.0,"[59.367897, 17.8194847]",9900000,11.0,849.0,169.0,"Hässelby Södra Villastad, Stockholms kommun",58580.0,7.0,Såld 2022-06-15,20.0
19.1,Furuvägen 6,7495000.0,"[59.37515234343847, 17.876427573602815]",7495000,0.0,980.0,157.0,"Nälsta, Stockholms kommun",47739.0,5.0,Såld 2022-06-15,7.0
20.1,Ängsvägen 53,5500000.0,"[59.2556573165, 17.9790817508]",6165000,12.0,802.0,118.0,"Snättringe, Huddinge kommun",52246.0,5.0,Såld 2022-06-15,0.0
21.1,Kummelvägen 42,13500000.0,"[59.32857, 17.9466267]",14000000,4.0,546.0,102.0,"Bromma - Ålsten, Stockholms kommun",137255.0,6.0,Såld 2022-06-15,98.0
22.1,Småstuguvägen 21,4495000.0,"[59.3792534, 17.8011532]",5900000,31.0,420.0,135.0,"Hässelby södra villastad, Stockholms kommun",43704.0,5.0,Såld 2022-06-15,3.0
23.1,Drottningholmsvägen 556,8750000.0,"[59.33139, 17.92017]",9200000,5.0,475.0,95.0,"Bromma Nockebyhov, Stockholms kommun",96842.0,5.0,Såld 2022-06-15,49.0
24.1,Tegnebyvägen 50,6900000.0,"[59.3445053, 17.905344]",8015000,16.0,470.0,85.0,"Bromma - Norra Ängby, Stockholms kommun",94294.0,6.0,Såld 2022-06-15,80.0
25.1,Strömkarlsvägen 34,14900000.0,"[59.3198, 17.9722767]",14825000,1.0,265.0,157.0,"Bromma Smedslätten, Stockholms kommun",94427.0,7.0,Såld 2022-06-14,71.0
26.1,Vivelvägen 13B,8650000.0,"[59.2749329, 17.9938145]",8650000,0.0,642.0,104.0,"Älvsjö, Stockholms kommun",83173.0,5.0,Såld 2022-06-14,90.0
27.1,Tellusvägen 7,8495000.0,"[59.25363, 18.1814461]",8500000,0.0,1075.0,163.0,"Älta - Hedvigslund, Nacka kommun",52147.0,6.0,Såld 2022-06-14,0.0
28.1,Norlindsvägen 33,9950000.0,"[59.35501, 17.9141312]",10000000,1.0,662.0,124.0,"Bromma - Bromma Kyrka, Stockholms kommun",80645.0,7.0,Såld 2022-06-14,121.0
29.1,Rågångsvägen 17B,11995000.0,"[59.3827830836, 17.9214802968]",11995000,0.0,878.0,219.0,"Spånga - Bromsten, Stockholms kommun",54772.0,8.0,Såld 2022-06-13,82.0
30.1,Järpvägen 3,6500000.0,"[59.400177, 17.8616943]",6500000,0.0,837.0,103.0,"Barkarby, Järfälla kommun",63107.0,,Såld 2022-06-13,30.0
31.1,Långskeppsgatan 31,8150000.0,"[59.3526393891, 17.8972564076]",8150000,0.0,423.0,122.0,"Norra Ängby, Stockholms kommun",66803.0,7.0,Såld 2022-06-11,6.0
32.1,Tallvägen 1A,11950000.0,"[59.4156876, 17.9522781]",11300000,5.0,1134.0,210.0,"Helenelund, Sollentuna kommun",53810.0,9.0,Såld 2022-06-10,60.0
33.1,Saturnushöjden 3,7495000.0,"[59.38543, 17.8390923]",7495000,0.0,1402.0,140.0,"Skälby, Järfälla kommun",53536.0,6.0,Såld 2022-06-10,0.0
34.1,Hästhagsvägen 25B,6495000.0,"[59.435016320088025, 17.933848696294927]",6800000,5.0,8122.0,134.0,"Häggvik, Sollentuna kommun",50746.0,4.0,Såld 2022-06-10,38.0
35.1,Valfrid Brodds väg 42,6975000.0,"[59.3720551, 17.8118572]",7310000,5.0,665.0,124.0,"Hässelby - Södra Villastad, Stockholms kommun",58952.0,6.0,Såld 2022-06-10,42.0
36.1,Hagforsgatan 13,5000000.0,"[59.23694351738007, 18.089633398832955]",5000000,0.0,814.0,117.0,"Farsta, Stockholms kommun",42735.0,5.0,Såld 2022-06-10,26.0
37.1,Storskogsvägen 22,15500000.0,"[59.32022, 17.9559422]",15700000,1.0,422.0,116.0,"Bromma - Ålsten, Stockholms kommun",135345.0,6.0,Såld 2022-06-10,57.0
38.1,Hjortstigen 16,18500000.0,"[59.38101243029418, 18.064946128681285]",19500000,5.0,1133.0,246.0,"Stocksund, Danderyds kommun",79268.0,10.0,Såld 2022-06-10,150.0
39.1,Herserudsvägen 36,22900000.0,"[59.3585525774375, 18.12373172322619]",21200000,7.0,1193.0,189.0,"Herserud, Lidingö kommun",112169.0,7.0,Såld 2022-06-10,35.0
40.1,Söråkersvägen 2,9850000.0,"[59.27214314475196, 18.056906533461266]",9850000,0.0,833.0,164.0,"Enskede - Stureby, Stockholms kommun",60061.0,6.0,Såld 2022-06-10,6.0
41.1,Forskningsringen 25,7995000.0,"[59.38368, 17.9523621]",8800000,10.0,338.0,139.0,"Ursvik, Sundbybergs kommun",63309.0,5.0,Såld 2022-06-09,10.0
42.1,Åbroddsvägen 23,6995000.0,"[59.37704, 17.8242683]",6825000,2.0,987.0,143.0,"Hässelby Södra Villastad, Stockholms kommun",47727.0,6.0,Såld 2022-06-09,8.0
43.1,Ösmogatan 6,8390000.0,"[59.27692, 18.0717812]",9840000,17.0,604.0,87.0,"Svedmyra, Stockholms kommun",113103.0,4.0,Såld 2022-06-09,49.0
44.1,Flensvägen 40,7700000.0,"[59.2682730309, 18.0314328027]",8600000,12.0,765.0,65.0,"Älvsjö - Örby, Stockholms kommun",132308.0,4.0,Såld 2022-06-09,65.0
45.1,Gränsvägen 25B,8495000.0,"[59.2494354, 18.21026]",8500000,0.0,1423.0,170.0,"Lindalen, Tyresö kommun",50000.0,5.0,Såld 2022-06-08,0.0
46.1,Fallskärmsvägen 1,8495000.0,"[59.3991946731, 17.8623303061]",9250000,9.0,1055.0,140.0,"Barkarby, Järfälla kommun",66071.0,7.0,Såld 2022-06-07,151.0
47.1,Långbrodalsvägen 35,9750000.0,"[59.2769775, 17.996048]",10300000,6.0,768.0,153.0,"Långbro, Stockholms kommun",67320.0,6.0,Såld 2022-06-07,28.0
48.1,Törnes väg 18,8050000.0,"[59.23259028860639, 18.19799297990945]",8050000,0.0,1087.0,174.0,"Hanviken, Tyresö kommun",46264.0,6.0,Såld 2022-06-06,0.0
49.1,Sandstigen 2B,7025000.0,"[59.23776703197272, 18.20608330369951]",6950000,1.0,786.0,118.0,"Hanviken, Tyresö kommun",58898.0,7.0,Såld 2022-06-06,118.0
0.2,Vallmovägen 6,8400000.0,"[59.23011552755084, 18.14798804946524]",8400000,0.0,1720.0,141.0,"Trångsund, Huddinge kommun",59574.0,6.0,Såld 2022-06-06,0.0
1.2,Boxergränd 8,5950000.0,"[59.2631035, 18.1111526]",6250000,5.0,158.0,137.0,"Sköndal - Norra Sköndal, Stockholms kommun",45620.0,5.0,Såld 2022-06-05,0.0
2.2,Ugglemossvägen 55,9395000.0,"[59.2946179913, 17.9478334659]",10900000,16.0,813.0,129.0,"Mälarhöjden, Stockholms kommun",84496.0,6.0,Såld 2022-06-04,34.0
3.2,Trollbäcksvägen 39A,7450000.0,"[59.2374763, 18.20291]",7225000,3.0,1161.0,131.0,"Hanviken/Trollbäcken, Tyresö kommun",55153.0,5.0,Såld 2022-06-03,34.0
4.2,Torparmors väg 11,7150000.0,"[59.37648, 17.8463039]",7275000,2.0,683.0,146.0,"Vinsta, Stockholms kommun",49829.0,6.0,Såld 2022-06-03,0.0
5.2,Tallstubbsbacken 20,7975000.0,"[59.379408415090175, 17.891677899769917]",7975000,0.0,565.0,93.0,"Spånga Solhem, Stockholms kommun",85753.0,5.0,Såld 2022-06-03,91.0
6.2,Småkaksgränd 12,6995000.0,"[59.25354, 18.1082554]",10100000,44.0,665.0,136.0,"Sköndal - Kakstan, Stockholms kommun",74265.0,6.0,Såld 2022-06-03,53.0
7.2,Virvelvindsvägen 24,22000000.0,"[59.32495, 17.9434586]",22500000,2.0,693.0,209.0,"Bromma - Ålsten, Stockholms kommun",107656.0,8.0,Såld 2022-06-03,33.0
8.2,Sofiebergsvägen 40,7795000.0,"[59.2470774314, 18.0178564636]",8100000,4.0,1130.0,144.0,"Stuvsta, Huddinge kommun",56250.0,6.0,Såld 2022-06-02,84.0
9.2,Doktor Abrahams väg 67,8000000.0,"[59.3593989027, 17.9144022322]",7900000,1.0,436.0,79.0,"Eneby, Stockholms kommun",100000.0,5.0,Såld 2022-06-02,79.0
10.2,Nidarosslingan 42,6395000.0,"[59.39716311883094, 17.837429003575373]",6395000,0.0,298.0,119.0,"Skälby, Järfälla kommun",53739.0,5.0,Såld 2022-06-02,8.0
11.2,Havsörnsvägen 31,6395000.0,"[59.24685, 18.0580463]",7500000,17.0,662.0,120.0,"Fagersjö, Stockholms kommun",62500.0,4.0,Såld 2022-06-02,32.0
12.2,Markvägen 45,7475000.0,"[59.37472831887674, 17.87491609769295]",8550000,14.0,814.0,183.0,"Vällingby Nälsta, Stockholms kommun",46721.0,6.0,Såld 2022-06-02,29.0
13.2,Bovägen 4A,8450000.0,"[59.24827, 18.2117653]",9030000,7.0,1265.0,128.0,"Lindalen, Tyresö kommun",70547.0,7.0,Såld 2022-06-02,119.0
14.2,Fållnäsgatan 66,9950000.0,"[59.27287, 18.07511]",10450000,5.0,499.0,118.0,"Tallkrogen, Stockholms kommun",88559.0,6.0,Såld 2022-06-01,118.0
15.2,Hälleskåran 36,16900000.0,"[59.2980957, 17.9515266]",16900000,0.0,1175.0,187.0,"Mälarhöjden, Stockholms kommun",90374.0,7.0,Såld 2022-06-01,76.0
16.2,Maj Brings Väg 16,8495000.0,"[59.2560499409, 18.124720568]",9500000,12.0,307.0,136.0,"Sköndal, Stockholms kommun",69853.0,6.0,Såld 2022-06-01,8.0
17.2,Stackvägen 10,10950000.0,"[59.421367599999996, 17.9420147]",11300000,3.0,1266.0,166.0,"Töjnan, Sollentuna kommun",68072.0,8.0,Såld 2022-06-01,14.0
18.2,Mickelsbergsvägen 117,7950000.0,"[59.2804337, 17.962553]",8250000,4.0,798.0,105.0,"Älvsjö - Herrängen, Stockholms kommun",78571.0,6.0,Såld 2022-06-01,129.0
19.2,Trevingevägen 39,8200000.0,"[59.338474, 17.965105]",8200000,0.0,,89.0,"Ulvsunda, Stockholms kommun",92135.0,4.0,Såld 2022-05-31,10.0
20.2,Ryttmästarvägen 9,4900000.0,"[59.374855, 17.9335155]",4900000,0.0,93.0,85.0,"Rissne, Sundbybergs kommun",57647.0,3.0,Såld 2022-05-31,0.0
21.2,Storhagsvägen 45,10900000.0,"[59.27634876614599, 17.963021190492515]",12500000,15.0,700.0,142.0,"Älvsjö - Herrängen, Stockholms kommun",88028.0,8.0,Såld 2022-05-31,99.0
22.2,Storsvängen 46,17650000.0,"[59.29799719442575, 17.963246209907467]",17650000,0.0,875.0,193.0,"Mälarhöjden, Stockholms kommun",91451.0,8.0,Såld 2022-05-31,121.0
23.2,Moravägen 15,24900000.0,"[59.3245354, 17.9286327]",22000000,12.0,820.0,266.0,"Bromma Nockeby, Stockholms kommun",82707.0,10.0,Såld 2022-05-30,171.0
24.2,Pettersbergsvägen 84,15500000.0,"[59.302716882014174, 17.943748707828473]",15000000,3.0,501.0,204.0,"Mälarhöjden, Stockholms kommun",73529.0,6.0,Såld 2022-05-30,33.0
25.2,Oviksgatan 69,6795000.0,"[59.3648500258, 17.8854685043]",7250000,7.0,453.0,67.0,"Vällingby Parkstad / Råcksta, Stockholms kommun",108209.0,6.0,Såld 2022-05-29,73.0
26.2,Pilbågsvägen 4,8275000.0,"[59.37209442149051, 17.90713701028685]",8000000,3.0,726.0,142.0,"Flysta, Stockholms kommun",56338.0,9.0,Såld 2022-05-29,75.0
27.2,Stamdikesvägen 18,8975000.0,"[59.37401713643488, 17.869599726041823]",8800000,2.0,640.0,174.0,"Vällingby Nälsta, Stockholms kommun",50575.0,6.0,Såld 2022-05-29,0.0
28.2,Skogsslingan 22,6250000.0,"[59.280262, 17.878809]",5700000,9.0,752.0,166.0,"Johannesdal, Stockholms kommun",34337.0,5.0,Såld 2022-05-29,0.0
29.2,Örnsätrabacken 194 - Accepterat pris!,6700000.0,"[59.29294735842682, 17.9182924369867]",6800000,1.0,471.0,166.0,"Sätra, Stockholms kommun",40964.0,8.0,Såld 2022-05-28,0.0
30.2,Skovelvägen 21,9995000.0,"[59.28470017108495, 17.97810627377146]",11750000,18.0,716.0,140.0,"Älvsjö, Stockholms kommun",83929.0,7.0,Såld 2022-05-28,55.0
31.2,Sörgårdsvägen 76,7825000.0,"[59.3814233899, 17.8820419207]",8835000,13.0,765.0,156.0,"Spånga - Solhem, Stockholms kommun",56635.0,7.0,Såld 2022-05-27,0.0
32.2,Dalkarlsvägen 47,9450000.0,"[59.25791, 17.99963]",9000000,5.0,1288.0,142.0,"Stuvsta Segersminne, Huddinge kommun",63380.0,6.0,Såld 2022-05-27,44.0
33.2,Solrosvägen 81,9500000.0,"[59.2794717937, 17.9622936076]",9300000,2.0,1002.0,114.0,"Älvsjö/Herrängen, Stockholms kommun",81579.0,5.0,Såld 2022-05-27,48.0
34.2,Gränsvägen 34,9950000.0,"[59.24947202979157, 18.20687277644905]",12000000,21.0,1049.0,172.0,"Lindalen, Tyresö kommun",69767.0,,Såld 2022-05-27,0.0
35.2,Gråhundsvägen 212,6495000.0,"[59.2636223, 18.1166782]",6650000,2.0,286.0,195.0,"Sköndal, Stockholms kommun",34103.0,6.0,Såld 2022-05-27,44.0
36.2,Bivägen 9,7250000.0,"[59.2783466443, 17.9832225524]",7725000,7.0,1132.0,69.0,"Älvsjö/Långbro, Stockholms kommun",111957.0,4.0,Såld 2022-05-27,63.0
37.2,Lammholmsbacken 66,4495000.0,"[59.2705269, 17.8942566]",4700000,5.0,458.0,112.0,"Skärholmen, Stockholms kommun",41964.0,5.0,Såld 2022-05-27,19.0
38.2,Västermovägen 68,8650000.0,"[59.278264193074975, 18.034584503541975]",9400000,9.0,557.0,188.0,"Örby, Stockholms kommun",50000.0,8.0,Såld 2022-05-26,95.0
39.2,Vinkelvägen 5,11250000.0,"[59.28065366910818, 18.088359346834515]",12900000,15.0,353.0,104.0,"Gamla Enskede, Stockholms kommun",124038.0,4.0,Såld 2022-05-26,45.0
40.2,Björkallén 1,6795000.0,"[59.22983985049788, 18.122943440386276]",6850000,1.0,7375.0,148.0,"Fållan, Huddinge kommun",46284.0,7.0,Såld 2022-05-26,37.0
41.2,Ringvägen 33,5995000.0,"[59.235083724778406, 18.200129512557627]",6200000,3.0,494.0,112.0,"Hanviken, Tyresö kommun",55357.0,6.0,Såld 2022-05-26,0.0
42.2,Fållnäsgatan 93,9250000.0,"[59.2736337009331, 18.075373413939854]",10000000,8.0,642.0,72.0,"Svedmyra/Enskede, Stockholms kommun",138889.0,6.0,Såld 2022-05-26,68.0
